Value,Description,Reference
0,Reserved,[RFC4760]
1,"Network Layer Reachability Information used     
for unicast forwarding",[RFC4760]
2,"Network Layer Reachability Information used     
for multicast forwarding",[RFC4760]
3,Reserved,[RFC4760]
4,"Network Layer Reachability Information (NLRI)   
with MPLS Labels",[RFC8277]
5,MCAST-VPN,[RFC6514]
6,"Network Layer Reachability Information used     
for Dynamic Placement of Multi-Segment Pseudowires",[RFC7267]
7,Encapsulation SAFI,[RFC5512]
8,MCAST-VPLS,[RFC7117]
9-63,Unassigned,
64,Tunnel SAFI,[Gargi_Nalawade][draft-nalawade-kapoor-tunnel-safi-01]
65,Virtual Private LAN Service (VPLS),[RFC4761][RFC6074]
66,BGP MDT SAFI,[RFC6037]
67,BGP 4over6 SAFI,[RFC5747]
68,BGP 6over4 SAFI,[Yong_Cui]
69,Layer-1 VPN auto-discovery information,[RFC5195]
70,BGP EVPNs,[RFC7432]
71,BGP-LS,[RFC7752]
72,BGP-LS-VPN,[RFC7752]
73,SR TE Policy SAFI,[draft-previdi-idr-segment-routing-te-policy]
74,SD-WAN Capabilities,[draft-dunbar-idr-sdwan-port-safi]
75-127,Unassigned,
128,MPLS-labeled VPN address,[RFC4364][RFC8277]
129,"Multicast for BGP/MPLS IP Virtual Private       
Networks (VPNs)",[RFC6513][RFC6514]
130-131,Reserved,[RFC4760]
132,Route Target constrains,[RFC4684]
133,IPv4 dissemination of flow specification rules,[RFC5575]
134,VPNv4 dissemination of flow specification rules,[RFC5575]
135-139,Reserved,[RFC4760]
140,VPN auto-discovery,[draft-ietf-l3vpn-bgpvpn-auto]
141-240,Reserved,[RFC4760]
241-254,Reserved for Private Use,[RFC4760]
255,Reserved,[RFC4760]
