Suboption,Command,Reference
0,AUTH,[RFC2944]
1,REJECT,[RFC2944]
2,ACCEPT,[RFC2944]
3,CHALLENGE,[RFC2944]
4,RESPONSE,[RFC2944]
5-7,Unassigned,[RFC2944]
8,EXP,[RFC2944]
9,PARAMS,[RFC2944]
