Suboption,Command,Reference
1,KEA_CERTA_RA,[RFC2951]
2,KEA_CERTB_RB_IVB_NONCEB,[RFC2951]
3,KEA_IVA_RESPONSEB_NONCEA,[RFC2951]
4,KEA_RESPONSEA,[RFC2951]
