Suboption,Command,Reference
1,DSS_INITIALIZE,[RFC2943]
2,DSS_TOKENBA,[RFC2943]
3,DSS_CERTA_TOKENAB,[RFC2943]
4,DSS_CERTB_TOKENBA2,[RFC2943]
