Identifier,Name,Description,Reference,Change Controller
MetricType,RTDelay,Round-Trip Delay,[RFC8911],IETF
MetricType,RTDNS,Response Time Domain Name Service,[RFC8911],IETF
MetricType,RLDNS,Response Loss Domain Name Service,[RFC8911],IETF
MetricType,OWDelay,One-Way Delay,[RFC8911],IETF
MetricType,RTLoss,Round-Trip Loss,[RFC8911],IETF
MetricType,OWLoss,One-Way Loss,[RFC8911],IETF
MetricType,OWPDV,One-Way Packet Delay Verification,[RFC8911],IETF
MetricType,OWIPDV,One-Way Inter-Packet Delay Variation,[RFC8911],IETF
MetricType,OWReorder,One-Way Packet Reordering,[RFC8911],IETF
MetricType,OWDuplic,One-Way Packet Duplication,[RFC8911],IETF
MetricType,OWBTC,One-Way Bulk Transport Capacity,[RFC8911],IETF
MetricType,OWMBM,One-Way Model-Based Metric,[RFC8911],IETF
MetricType,SPMonitor,Single-Point Monitor,[RFC8911],IETF
MetricType,MPMonitor,Multi-Point Monitor,[RFC8911],IETF
