Identifier,Name,Description,Reference,Change Controller
Units,Seconds,,[RFC8911],IETF
Units,Ratio,unitless,[RFC8911],IETF
Units,Percent,value multiplied by 100%,[RFC8911],IETF
Units,Logical,1 or 0,[RFC8911],IETF
Units,Packets,,[RFC8911],IETF
Units,BPS,bits per second,[RFC8911],IETF
Units,PPS,packets per second,[RFC8911],IETF
Units,EventTotal,for unitless counts,[RFC8911],IETF
Units,Multiple,more than one type of unit,[RFC8911],IETF
Units,Enumerated,a list of outcomes,[RFC8911],IETF
Units,Unitless,,[RFC8911],IETF
