Error #,Error Name,Contact,Reference
1,LANGUAGE_NOT_SUPPORTED,[Erik_Guttman],[RFC2608]
2,PARSE_ERROR,[Erik_Guttman],[RFC2608]
3,INVALID_REGISTRATION,[Erik_Guttman],[RFC2608]
4,SCOPE_NOT_SUPPORTED,[Erik_Guttman],[RFC2608]
5,AUTHENTICATION_UNKNOWN,[Erik_Guttman],[RFC2608]
6,AUTHENTICATION_ABSENT,[Erik_Guttman],[RFC2608]
7,AUTHENTICATION_FAILED,[Erik_Guttman],[RFC2608]
8,Unassigned,,
9,VER_NOT_SUPPORTED,[Erik_Guttman],[RFC2608]
10,INTERNAL_ERROR,[Erik_Guttman],[RFC2608]
11,DA_BUSY_NOW,[Erik_Guttman],[RFC2608]
12,OPTION_NOT_SUPPORTED,[Erik_Guttman],[RFC2608]
13,INVALID_UPDATE,[Erik_Guttman],[RFC2608]
14,MSG_NOT_SUPPORTED,[Erik_Guttman],[RFC2608]
15,REFRESH_REJECTED,[Erik_Guttman],[RFC2608]
16-65535,Unassigned,,
