Algorithm Suite Identifier,Digest Algorithm,Signature Algorithm,Reference
0x0,Reserved,Reserved,[RFC8208]
0x1,SHA-256,ECDSA P-256,"[National Institute of Standards and Technology (NIST), U.S.
        Department of Commerce, ""Digital Signature Standard"", FIPS
        Publication 186-4, July 2013.][National Institute of Standards and Technology (NIST), U.S.
        Department of Commerce, ""Secure Hash Standard"", FIPS
        Publication 180-4, August 2015.][RFC6090][RFC8208]"
0x2-0xEF,Unassigned,Unassigned,
0xFF,Reserved,Reserved,[RFC8208]
