Type,SDP Name,Usage Level,Mux Category,Reference
attribute,orient,media,NORMAL,[RFC8866][RFC8859]
attribute,orient:landscape,media,NORMAL,[RFC8866][RFC8859]
attribute,orient:portrait,media,NORMAL,[RFC8866][RFC8859]
attribute,orient:seascape,media,NORMAL,[RFC8866][RFC8859]
attribute,path,"media, dcsa (msrp)",TBD,[RFC4975][RFC8859][RFC8873]
attribute,pcfg,media,SPECIAL,[RFC5939][RFC8859]
attribute,phone-context,"session, media",TBD,[RFC2848][RFC8859]
attribute,pmft,media,TBD,"[ITU-T Recommendation V.152 ""Procedures for supporting voice-band data over IP networks"", September 2010][Simao_Campos-Neto]"
attribute,portmapping-req,media,CAUTION,[RFC6284][RFC8859]
attribute,predefined_ROI,media,IDENTICAL-PER-PT,[3GPP TS 26.114 v16.3.0][_3GPP_Specifications_Manager]
attribute,previous-ssrc,source,NORMAL,[RFC5576][RFC8859]
attribute,profileDesc,media,CAUTION,[RFC3108][RFC8859]
attribute,prtfl,media,CAUTION,[RFC3108][RFC8859]
attribute,PSCid,session,NORMAL,"[Sonia_Compans][TS 183 063 R3 ETSI TISPAN Technical Specification TS 183 063
        ""Telecommunications and Internet converged Services and Protocols for
        Advanced Networking (TISPAN); IMS-based IPTV stage 3 specification""][RFC8859]"
attribute,psk-fingerprint,"session, media",IDENTICAL,[RFC6193][RFC8859]
attribute,ptime,media,IDENTICAL-PER-PT,[RFC8866][RFC8859]
attribute,Q763-INN,"session, media",TBD,[RFC2848][RFC8859]
attribute,Q763-nature,"session, media",TBD,[RFC2848][RFC8859]
attribute,Q763-plan,"session, media",TBD,[RFC2848][RFC8859]
attribute,qos-mech-recv,"session, media",TRANSPORT,[RFC5432][RFC8859]
attribute,qos-mech-send,"session, media",TRANSPORT,[RFC5432][RFC8859]
attribute,qosClass,media,CAUTION,[RFC3108][RFC8859]
attribute,quality,media,NORMAL,[RFC8866][RFC8859]
attribute,rams-updates,media,CAUTION,[RFC6285][RFC8859]
attribute,range,"session, media",CAUTION,[RFC2326][RFC7826][RFC8859]
attribute,record,"session, media",TBD,[RFC7866][RFC8859]
attribute,recordpref,"session, media",TBD,[RFC7866][RFC8859]
attribute,recvonly,"session, media, dcsa (t140), dcsa (msrp)",NORMAL,[RFC8866][RFC8859][RFC8865][RFC8873]
attribute,remote-candidates,media,TRANSPORT,[RFC8839][RFC8859]
attribute,repair-window,media,SPECIAL,[RFC6364][RFC8859]
attribute,require,"session, media",TBD,[RFC2848][RFC8859]
attribute,resource,media,NORMAL,[RFC6787][RFC8859]
attribute,rid,media,SPECIAL,[RFC8851]
attribute,rmcap,"session, media",IDENTICAL-PER-PT,[RFC6871][RFC8859]
attribute,rtcp,media,TRANSPORT,[RFC3605][RFC8859]
attribute,rtcp-fb,media,IDENTICAL-PER-PT,[RFC4585][RFC8859]
attribute,rtcp-idms,media,NORMAL,[RFC7272][RFC8859]
attribute,rtcp-mux,media,IDENTICAL,[RFC5761][RFC8035][RFC8859]
attribute,rtcp-mux-only,media,IDENTICAL,[RFC8858]
attribute,rtcp-rgrp,"session, media",IDENTICAL,[RFC8861][RFC8859]
attribute,rtcp-rsize,media,IDENTICAL,[RFC5506][RFC8859]
attribute,rtcp-unicast,media,IDENTICAL,[RFC5760][RFC8859]
attribute,rtcp-xr,"session, media",NORMAL,[RFC3611][RFC8859]
attribute,rtpmap,media,IDENTICAL-PER-PT,[RFC8866][RFC8859]
attribute,rtpred1,media,CAUTION,[2][RFC8859]
attribute,rtpred2,media,CAUTION,[2][RFC8859]
attribute,rtsp-ice-d-m,session,TBD,[RFC7825][RFC8859]
attribute,rtt-mixer,media,NORMAL,"[RFC-ietf-avtcore-multi-party-rtt-mix-20, Section 2.3]"
attribute,sbc,media,CAUTION,[RFC3108][RFC8859]
attribute,sctp-port,media,CAUTION,[RFC8841]
attribute,sdplang,"session, media",NORMAL,[RFC8866][RFC8859]
attribute,secondary-realm,media,TRANSPORT,"[TS 24.229 v10.7.0
        table 7.5.2][Frederic_Firmin][RFC8859]"
attribute,sendonly,"session, media, dcsa (t140), dcsa (msrp)",NORMAL,[RFC8866][RFC8859][RFC8865][RFC8873]
attribute,sendrecv,"session, media, dcsa (t140), dcsa (msrp)",NORMAL,[RFC8866][RFC8859][RFC8865][RFC8873]
attribute,sescap,session,CAUTION,[RFC6871][RFC8859]
attribute,setup,"session, media, dcsa (msrp)",TRANSPORT,[RFC4145][RFC8859][RFC8873]
attribute,silenceSupp,media,CAUTION,[RFC3108][RFC8859]
attribute,simulcast,media,NORMAL,[RFC8853]
attribute,source-filter,"session, media",IDENTICAL,[RFC4570][RFC8859]
attribute,sqn,"session, media",NORMAL,[RFC3407][RFC8859]
attribute,SRTPAuthentication,media,TBD,[RFC5159][RFC8859]
attribute,SRTPROCTxRate,media,TBD,[RFC5159][RFC8859]
attribute,ssrc,media,NORMAL,[RFC5576][RFC8859]
attribute,ssrc-group,media,NORMAL,[RFC5576][RFC8859]
attribute,stc,media,CAUTION,[RFC3108][RFC8859]
attribute,stkmstream,"session, media",NORMAL,[RFC5159][RFC8859]
attribute,structure,media,CAUTION,[RFC3108][RFC8859]
attribute,suspended,"session, media",TBD,[NENA STA-010.2-2016][Brian_Rosen][RFC8859]
attribute,T38FaxFillBitRemoval,media,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][RFC8859]"
attribute,T38FaxMaxBuffer,media,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][RFC8859]"
attribute,T38FaxMaxDatagram,media,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][RFC8859]"
attribute,T38FaxMaxIFP,media,TBD,"[ITU-T Recommendation T.38 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][Simao_Campos-Neto][RFC8859]"
attribute,T38FaxRateManagement,media,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][RFC8859]"
attribute,T38FaxTranscodingJBIG,media,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][RFC8859]"
attribute,T38FaxTranscodingMMR,media,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][RFC8859]"
attribute,T38FaxUdpEC,media,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][RFC8859]"
attribute,T38FaxUdpECDepth,media,TBD,"[ITU-T Recommendation T.38 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][Simao_Campos-Neto][RFC8859]"
attribute,T38FaxUdpFECMaxSpan,media,TBD,"[ITU-T Recommendation T.38 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][Simao_Campos-Neto][RFC8859]"
attribute,T38FaxVersion,media,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][RFC8859]"
attribute,T38MaxBitRate,media,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][RFC8859]"
attribute,T38ModemType,media,TBD,"[ITU-T Recommendation T.38 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][Simao_Campos-Neto][RFC8859]"
attribute,T38VendorInfo,media,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures',
        February 2000, July 2005.][RFC8859]"
attribute,tcap,"session, media",INHERIT,[RFC5939][RFC8859]
attribute,tls-id,media,IDENTICAL,[RFC8842]
attribute,tool,session,NORMAL,[RFC8866][RFC8859]
attribute,ts-refclk,"session, media, source",NORMAL,[RFC7273][RFC8859]
attribute,type,session,NORMAL,[RFC8866][RFC8859]
attribute,type:H332,session,NORMAL,[ITU Recommendation H.332][RFC8859]
attribute,type:broadcast,session,NORMAL,[RFC8866][RFC8859]
attribute,type:meeting,session,NORMAL,[RFC8866][RFC8859]
attribute,type:moderated,session,NORMAL,[RFC8866][RFC8859]
attribute,type:test,session,NORMAL,[RFC8866][RFC8859]
attribute,uiLayer1_Prot,media,CAUTION,[RFC3108][RFC8859]
attribute,upcc,media,CAUTION,[RFC3108][RFC8859]
attribute,userid,media,TBD,[RFC8856][RFC8859]
attribute,vbd (OBSOLETE),media,TBD,"[ITU-T Recommendation V.152 ""Procedures for supporting voice-band data over IP networks"", September 2010][Simao_Campos-Neto]"
attribute,visited-realm,media,TRANSPORT,"[TS 24.229 v10.7.0
        table 7.5.2][Frederic_Firmin][RFC8859]"
attribute,vndpar,"session, media",TBD,[ITU-T Rec. V.150.1][ITU-T Rec. V.152][Simao_Campos-Neto]
attribute,vsel,media,CAUTION,[RFC3108][RFC8859]
attribute,websocket-uri,media,CAUTION,[RFC8124]
attribute,X-decbyterate,media,CAUTION,[RFC6064][RFC8859]
attribute,X-initpostdecbufperiod,media,CAUTION,[RFC6064][RFC8859]
attribute,X-initpredecbufperiod,media,CAUTION,[RFC6064][RFC8859]
attribute,X-predecbufsize,media,CAUTION,[RFC6064][RFC8859]
attribute,zrtp-hash,media,TRANSPORT,[RFC6189][RFC8859]
