Type,SDP Name,Usable addrtype Values,Reference
nettype,IN,"IP4, IP6",[RFC8866]
nettype,TN,RFC2543,[RFC2848]
nettype,ATM,"NSAP, GWID, E164",[RFC3108]
nettype,PSTN,E164,[RFC7195]
