Type,SDP Name,Description,Mux Category,Reference
content,slides,Presentation slides,NORMAL,[RFC4796][RFC-ietf-mmusic-sdp-mux-attributes-19]
content,speaker,Image from the speaker,NORMAL,[RFC4796][RFC-ietf-mmusic-sdp-mux-attributes-19]
content,sl,Sign language,NORMAL,[RFC4796][RFC-ietf-mmusic-sdp-mux-attributes-19]
content,main,Main media stream,NORMAL,[RFC4796][RFC-ietf-mmusic-sdp-mux-attributes-19]
content,alt,Alternative media stream,NORMAL,[RFC4796][RFC-ietf-mmusic-sdp-mux-attributes-19]
content,g.3gpp.cat,Stream associated with the 3GPP Customized Alerting Ringtone (CAT) service,NORMAL,[3GPP TS 24.182 v11.2.0][Frederic_Firmin][RFC-ietf-mmusic-sdp-mux-attributes-19]
content,g.3gpp.crs,Stream associated with the 3GPP Customized Ringing Signal (CRS) service,NORMAL,"[3GPP TS 24.183
        v9.10.0 annex E][Frederic_Firmin][RFC-ietf-mmusic-sdp-mux-attributes-19]"
