Type,SDP Name,Mux Category,Reference
att-field (media level only),isup_usi,CAUTION,[RFC3108][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),uiLayer1_Prot,CAUTION,[RFC3108][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),chain,CAUTION,[RFC3108][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),floorctrl,TBD,[RFC4583][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),confid,NORMAL,[RFC4583][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),userid,NORMAL,[RFC4583][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),floorid,NORMAL,[RFC4583][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),FEC,NORMAL,[RFC-mehta-rmt-flute-sdp-05][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),accept-types,TBD,[RFC4975][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),accept-wrapped-types,TBD,[RFC4975][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),max-size,TBD,[RFC4975][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),path,TBD,[RFC4975][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),dccp-service-code,CAUTION,[RFC5762][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),rtcp-mux,IDENTICAL,[RFC5761][RFC8035][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),candidate,TRANSPORT,[RFC5245][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),ice-mismatch,NORMAL,[RFC5245][RFC Errata 3149][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),remote-candidates,TRANSPORT,[RFC5245][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),SRTPAuthentication,TBD,[RFC5159][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),SRTPROCTxRate,TBD,[RFC5159][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),rtcp-rsize,IDENTICAL,[RFC5506][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),file-selector,TBD,[RFC5547][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),file-transfer-id,TBD,[RFC5547][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),file-disposition,TBD,[RFC5547][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),file-date,TBD,[RFC5547][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),file-icon,TBD,[RFC5547][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),file-range,TBD,[RFC5547][RFC-ietf-mmusic-sdp-mux-attributes-16]
