Type,SDP Name,Mux Category,Reference
att-field (session level),cat,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),keywds,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),type,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),type:broadcast,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),type:H332,NORMAL,[ITU Recommendation H.332][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),type:meeting,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),type:moderated,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),type:test,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),charset,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),charset:iso8895-1,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),tool,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),ipbcp,SPECIAL,"[ITU-T Recommendation Q.1970, ""BICC IP bearer control
protocol"" (07/2001)][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (session level),group,NORMAL,[RFC5888][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),ice-lite,NORMAL,[RFC5245][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),ice-options,NORMAL,[RFC5245][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),bcastversion,NORMAL,[RFC5159][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),3GPP-Integrity-Key,CAUTION,[RFC6064][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),3GPP-SDP-Auth,CAUTION,[RFC6064][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),alt-group,CAUTION,[RFC6064][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),PSCid,NORMAL,"[Sonia_Compans][TS 183 063 R3 ETSI TISPAN Technical Specification TS 183 063
""Telecommunications and Internet converged Services and Protocols for
Advanced Networking (TISPAN); IMS-based IPTV stage 3 specification""][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (session level),bc_service,NORMAL,"[Sonia_Compans][TS 183 063 R3 ETSI TISPAN Technical Specification TS 183 063
""Telecommunications and Internet converged Services and Protocols for
Advanced Networking (TISPAN); IMS-based IPTV stage 3 specification""][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (session level),bc_program,NORMAL,"[Sonia_Compans][TS 183 063 R3 ETSI TISPAN Technical Specification TS 183 063
""Telecommunications and Internet converged Services and Protocols for
Advanced Networking (TISPAN); IMS-based IPTV stage 3 specification""][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (session level),bc_service_package,NORMAL,"[Sonia_Compans][TS 183 063 R3 ETSI TISPAN Technical Specification TS 183 063
""Telecommunications and Internet converged Services and Protocols for
Advanced Networking (TISPAN); IMS-based IPTV stage 3 specification""][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (session level),sescap,CAUTION,[RFC6871][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (session level),rtsp-ice-d-m,TBD,[RFC7825][RFC-ietf-mmusic-sdp-mux-attributes-16]
