Multiplexing Categories,Reference
NORMAL,[RFC-ietf-mmusic-sdp-mux-attributes-16]
CAUTION,[RFC-ietf-mmusic-sdp-mux-attributes-16]
IDENTICAL,[RFC-ietf-mmusic-sdp-mux-attributes-16]
TRANSPORT,[RFC-ietf-mmusic-sdp-mux-attributes-16]
SUM,[RFC-ietf-mmusic-sdp-mux-attributes-16]
INHERIT,[RFC-ietf-mmusic-sdp-mux-attributes-16]
IDENTICAL-PER-PT,[RFC-ietf-mmusic-sdp-mux-attributes-16]
SPECIAL,[RFC-ietf-mmusic-sdp-mux-attributes-16]
TBD,[RFC-ietf-mmusic-sdp-mux-attributes-16]
