Type,SDP Name,Reference
addrtype,IP4,[RFC8866]
addrtype,IP6,[RFC8866]
addrtype,NSAP,[RFC3108]
addrtype,GWID,[RFC3108]
addrtype,E164,[RFC7195][RFC3108]
