QoS Mechanism,Mux Category,Reference
rsvp,TRANSPORT,[RFC5432][RFC-ietf-mmusic-sdp-mux-attributes-16]
nsis,TRANSPORT,[RFC5432][RFC-ietf-mmusic-sdp-mux-attributes-16]
