Value,Description,Mux Category,Reference
callerid,Caller ID,TBD,[RFC7195][RFC8859]
uuie,User-User Information Element,TBD,[RFC7195][RFC8859]
dtmf,Dual-tone Multi-Frequency,TBD,[RFC7195][RFC8859]
external,External,TBD,[RFC7195][RFC8859]
