RID Parameter Name,Reference
pt,[RFC8851]
max-width,[RFC8851]
max-height,[RFC8851]
max-fps,[RFC8851]
max-fs,[RFC8851]
max-br,[RFC8851]
max-pps,[RFC8851]
max-bpp,[RFC8851]
depend,[RFC8851]
