Type,SDP Name,Reference
proto,RTP/AVP,[RFC4566]
proto,udp,[RFC4566]
proto,vat,[1]
proto,rtp,[1]
proto,udptl,"[ITU-T Recommendation T.38, 'Procedures for real-time
Group 3 facsimile communication over IP networks', June 1998.
 (Section 9)]"
proto,TCP,[RFC4145]
proto,RTP/AVPF,[RFC4585]
proto,TCP/RTP/AVP,[RFC4571]
proto,RTP/SAVP,[RFC3711]
proto,TCP/BFCP,[RFC-ietf-bfcpbis-rfc4583bis-27]
proto,TCP/TLS/BFCP,[RFC-ietf-bfcpbis-rfc4583bis-27]
proto,TCP/TLS,[RFC8122]
proto,FLUTE/UDP,[RFC-mehta-rmt-flute-sdp-05]
proto,TCP/MSRP,[RFC4975]
proto,TCP/TLS/MSRP,[RFC4975]
proto,DCCP,[RFC5762]
proto,DCCP/RTP/AVP,[RFC5762]
proto,DCCP/RTP/SAVP,[RFC5762]
proto,DCCP/RTP/AVPF,[RFC5762]
proto,DCCP/RTP/SAVPF,[RFC5762]
proto,RTP/SAVPF,[RFC5124]
proto,UDP/TLS/RTP/SAVP,[RFC5764]
proto,DCCP/TLS/RTP/SAVP,[RFC5764]
proto,UDP/TLS/RTP/SAVPF,[RFC5764]
proto,DCCP/TLS/RTP/SAVPF,[RFC5764]
proto,UDP/MBMS-FEC/RTP/AVP,[RFC6064]
proto,UDP/MBMS-FEC/RTP/SAVP,[RFC6064]
proto,UDP/MBMS-REPAIR,[RFC6064]
proto,FEC/UDP,[RFC6364]
proto,UDP/FEC,[RFC6364]
proto,TCP/MRCPv2,[RFC6787]
proto,TCP/TLS/MRCPv2,[RFC6787]
proto,PSTN,[RFC7195]
proto,UDP/TLS/UDPTL,[RFC7345]
proto,voice,[RFC2848]
proto,fax,[RFC2848]
proto,pager,[RFC2848]
proto,TCP/RTP/AVPF,[RFC7850]
proto,TCP/RTP/SAVP,[RFC7850]
proto,TCP/RTP/SAVPF,[RFC7850]
proto,TCP/DTLS/RTP/SAVP,[RFC7850]
proto,TCP/DTLS/RTP/SAVPF,[RFC7850]
proto,TCP/TLS/RTP/AVP,[RFC7850]
proto,TCP/TLS/RTP/AVPF,[RFC7850]
proto,TCP/WS/BFCP,[RFC-ietf-bfcpbis-bfcp-websocket-15]
proto,TCP/WSS/BFCP,[RFC-ietf-bfcpbis-bfcp-websocket-15]
proto,UDP/DTLS/SCTP,[RFC-ietf-mmusic-sctp-sdp-25]
proto,TCP/DTLS/SCTP,[RFC-ietf-mmusic-sctp-sdp-25]
proto,TCP/DTLS/BFCP,[RFC-ietf-bfcpbis-rfc4583bis-27]
proto,UDP/BFCP,[RFC-ietf-bfcpbis-rfc4583bis-27]
proto,UDP/TLS/BFCP,[RFC-ietf-bfcpbis-rfc4583bis-27]
