Option Tag,Mux Category,Reference
cap-v0,NORMAL,[RFC5939][RFC8859]
med-v0,NORMAL,[RFC6871][RFC8859]
bcap-v0,NORMAL,[RFC7006][RFC8859]
ccap-v0,NORMAL,[RFC7006][RFC8859]
icap-v0,NORMAL,[RFC7006][RFC8859]
