Name,Status,Reference
AUDIO,Current,"[RFC7986], Section 6.3"
CHAT,Current,"[RFC7986], Section 6.3"
FEED,Current,"[RFC7986], Section 6.3"
MODERATOR,Current,"[RFC7986], Section 6.3"
PHONE,Current,"[RFC7986], Section 6.3"
SCREEN,Current,"[RFC7986], Section 6.3"
VIDEO,Current,"[RFC7986], Section 6.3"
