Status Code,Reference
Continue,[RFC6063]
Success,[RFC6063]
Abort,[RFC6063]
AccessDenied,[RFC6063]
MalformedRequest,[RFC6063]
UnknownRequest,[RFC6063]
UnknownCriticalExtension,[RFC6063]
UnsupportedVersion,[RFC6063]
NoSupportedKeyTypes,[RFC6063]
NoSupportedEncryptionAlgorithms,[RFC6063]
NoSupportedMacAlgorithms,[RFC6063]
NoProtocolVariants,[RFC6063]
NoSupportedKeyPackages,[RFC6063]
AuthenticationDataMissing,[RFC6063]
AuthenticationDataInvalid,[RFC6063]
InitializationFailed,[RFC6063]
ProvisioningPeriodExpired,[RFC6063]
