Common Name,URI,Reference
DSKPP-PRF-AES,urn:ietf:params:xml:ns:keyprov:dskpp:prf-aes-128,[RFC6063]
DSKPP-PRF-SHA256,urn:ietf:params:xml:ns:keyprov:dskpp:prf-sha256,[RFC6063]
