Value,Description,Reference
0x01,NU-bit,[RFC5340]
0x02,LA-bit,[RFC5340]
0x04,Deprecated,[RFC5340]
0x08,P-bit,[RFC5340]
0x10,DN-bit,[RFC5340]
0x20,N-bit,[RFC8362]
0x40,E-Flag (ELC Flag),[RFC9089]
0x80,"AC-bit (TEMPORARY - registered 2022-09-14, document sent to IESG Evaluation 2023-05-15)","[draft-ietf-lsr-ospfv3-srv6-extensions-14, Section 6]"
