PEN,Integer,Name,Reference
0,0,ISO 2015 SWID tags using XML,[RFC8412]
0,1,ISO 2009 SWID tags using XML,[RFC8412]
0,2-191,Unassigned,
0,192-255,Reserved for local enterprise use,[RFC8412]
