Bit (Value),Description,Reference
"0
          (0x01)","Type 1: PWE3 Control Word with 0001b as first nibble (PW-ACH, see [RFC4385])",[RFC5085]
"1
          (0x02)",Type 2: MPLS Router Alert Label,[RFC5085]
"2
          (0x04)",Type 3: MPLS PW Label with TTL == 1,[RFC5085]
"3
          (0x08)",Type 4: GAL,[RFC7708]
"4
          (0x10)",Reserved,[RFC5085]
"5
          (0x20)",Reserved,[RFC5085]
"6
          (0x40)",Reserved,[RFC5085]
"7
          (0x80)",Reserved,[RFC5085]
