Packet Type,Description
0,ROHC Small-CIDs
1,ROHC Large-CIDs
2,FULL_HEADER
3,COMPRESSED_TCP
4,COMPRESSED_TCP_NODELTA
5,COMPRESSED_NON_TCP
6,COMPRESSED_RTP_8
7,COMPRESSED_RTP_16
8,COMPRESSED_UDP_8
9,COMPRESSED_UDP_16
10,CONTEXT_STATE
11-15,Unassigned
