Bit Mask,Description,Reference
0x00000000,Pseudowire forwarding (clear all failures),[RFC-ietf-pals-rfc4447bis-05][RFC4446]
0x00000001,Pseudowire Not Forwarding,[RFC-ietf-pals-rfc4447bis-05][RFC4446]
0x00000002,Local Attachment Circuit (ingress) Receive Fault,[RFC-ietf-pals-rfc4447bis-05][RFC4446]
0x00000004,Local Attachment Circuit (egress) Transmit Fault,[RFC-ietf-pals-rfc4447bis-05][RFC4446]
0x00000008,Local PSN-facing PW (ingress) Receive Fault,[RFC-ietf-pals-rfc4447bis-05][RFC4446]
0x00000010,Local PSN-facing PW (egress) Transmit Fault,[RFC-ietf-pals-rfc4447bis-05][RFC4446]
0x00000020,PW Preferential Forwarding Status,[RFC6870]
0x00000040,PW Request Switchover Status,[RFC6870]
