TradingRole/Trading Role,Reference
"""Consumer""",[RFC2801]
"""Merchant""",[RFC2801]
"""PaymentHandler""",[RFC2801]
"""DeliveryHandler""",[RFC2801]
"""DelivTo""",[RFC2801]
"""CustCare""",[RFC2801]
