Field Type,Meaning,Reference
0x0002,No-Operation Request,[RFC5906]
0x8002,No-Operation Response,[RFC5906]
0xC002,No-Operation Error Response,[RFC5906]
0x0102,Association Message Request,[RFC5906]
0x8102,Association Message Response,[RFC5906]
0xC102,Association Message Error Response,[RFC5906]
0x0202,Certificate Message Request,[RFC5906]
0x8202,Certificate Message Response,[RFC5906]
0xC202,Certificate Message Error Response,[RFC5906]
0x0302,Cookie Message Request,[RFC5906]
0x8302,Cookie Message Response,[RFC5906]
0xC302,Cookie Message Error Response,[RFC5906]
0x0402,Autokey Message Request,[RFC5906]
0x8402,Autokey Message Response,[RFC5906]
0xC402,Autokey Message Error Response,[RFC5906]
0x0502,Leapseconds Message Request,[RFC5906]
0x8502,Leapseconds Message Response,[RFC5906]
0xC502,Leapseconds Message Error Response,[RFC5906]
0x0602,Sign Message Request,[RFC5906]
0x8602,Sign Message Response,[RFC5906]
0xC602,Sign Message Error Response,[RFC5906]
0x0702,IFF Identity Message Request,[RFC5906]
0x8702,IFF Identity Message Response,[RFC5906]
0xC702,IFF Identity Message Error Response,[RFC5906]
0x0802,GQ Identity Message Request,[RFC5906]
0x8802,GQ Identity Message Response,[RFC5906]
0xC802,GQ Identity Message Error Response,[RFC5906]
0x0902,MV Identity Message Request,[RFC5906]
0x8902,MV Identity Message Response,[RFC5906]
0xC902,MV Identity Message Error Response,[RFC5906]
0x2005,Checksum Complement,[RFC7821]
