Code Value,Error Code Name,Reference
0x0,invalidErrorCode,[RFC6940]
0x1,Unassigned,
0x2,Error_Forbidden,[RFC6940]
0x3,Error_Not_Found,[RFC6940]
0x4,Error_Request_Timeout,[RFC6940]
0x5,Error_Generation_Counter_Too_Low,[RFC6940]
0x6,Error_Incompatible_with_Overlay,[RFC6940]
0x7,Error_Unsupported_Forwarding_Option,[RFC6940]
0x8,Error_Data_Too_Large,[RFC6940]
0x9,Error_Data_Too_Old,[RFC6940]
0xa,Error_TTL_Exceeded,[RFC6940]
0xb,Error_Message_Too_Large,[RFC6940]
0xc,Error_Unknown_Kind,[RFC6940]
0xd,Error_Unknown_Extension,[RFC6940]
0xe,Error_Response_Too_Large,[RFC6940]
0xf,Error_Config_Too_Old,[RFC6940]
0x10,Error_Config_Too_New,[RFC6940]
0x11,Error_In_Progress,[RFC6940]
0x12,Error_Exp_A,[RFC6940]
0x13,Error_Exp_B,[RFC6940]
0x14,Error_Invalid_Message,[RFC6940]
0x15-07fff,Unassigned,
0x8000-0xffff,Reserved,[RFC6940]
