Mechanism,Usage,Reference,Minimum iteration-count,Associated OID,Owner
SCRAM-SHA-1,COMMON,[RFC5802][RFC7677],4096,1.3.6.1.5.5.14,[IESG]
SCRAM-SHA-1-PLUS,COMMON,[RFC5802][RFC7677],4096,1.3.6.1.5.5.14,[IESG]
SCRAM-SHA-256,COMMON,[RFC7677],4096,1.3.6.1.5.5.18,[IESG]
SCRAM-SHA-256-PLUS,COMMON,[RFC7677],4096,1.3.6.1.5.5.18,[IESG]
