"ID",Description,Reference
0,Russian Dolls Model (RDM),[RFC4127]
1,Maximum Allocation Model (MAM),[RFC4125]
2,Maximum Allocation with Reservation Model (MAR),[RFC4126]
3-239,Unassigned,[RFC4124]
240-255,Reserved for Private Use,[RFC4124]
