Tunnel Type,Description,Reference
v6v4,IPv6 in IPv4 encapsulation (using IPv4 protocol 41),[RFC5572]
v6udpv4,IPv6 in UDP in IPv4 encapsulation,[RFC5572]
v6anyv4,IPv6 in IPv4 or IPv6 in UDP in IPv4 encapsulation,[RFC5572]
v4v6,IPv4 in IPv6 encapsulation,[RFC5572]
