Reset Code,Name,Reference
128-183,Unassigned,
184-190,Reserved for experimental and testing use,[RFC4342]
191-247,Unassigned,
248-254,Reserved for experimental and testing use,[RFC4342]
255,Reserved,[RFC4342]
