Name,Label,CBOR Label,JSON Type,XML Type,EXI ID,Reference,Note
Base Name,bn,-2,String,string,a,[RFC8428],
Base Time,bt,-3,Number,double,a,[RFC8428],
Base Unit,bu,-4,String,string,a,[RFC8428],
Base Value,bv,-5,Number,double,a,[RFC8428],
Base Sum,bs,-6,Number,double,a,[RFC8428],
Base Version,bver,-1,Number,int,a,[RFC8428],
Name,n,0,String,string,a,[RFC8428],
Unit,u,1,String,string,a,[RFC8428],
Value,v,2,Number,double,a,[RFC8428],
String Value,vs,3,String,string,a,[RFC8428],
Boolean Value,vb,4,Boolean,boolean,a,[RFC8428],
Data Value,vd,8,String (*),string (*),a,[RFC8428],"(*) Data Value is a base64-encoded string with the
        URL-safe alphabet as defined in Section 5 of [RFC4648], with padding omitted. (In CBOR, the octets in the Data Value are encoded using a definite-length byte string, major type 2.)"
Sum,s,5,Number,double,a,[RFC8428],
Time,t,6,Number,double,a,[RFC8428],
Update Time,ut,7,Number,double,a,[RFC8428],
LwM2M Object Link,vlo,,String,string,,[OMA-TS-LightweightM2M_Core-V1_1_1-20190617-A],Section 7.4.5 of the OMA LwM2M 1.1 Core Technical Specification
