Value,Name,Reference
0x20,Unassigned; can be assigned to 'generic integer' if it should ever be needed,[RFC8010]
0x21,integer,[RFC8010]
0x22,boolean,[RFC8010]
0x23,enum,[RFC8010]
0x24-0x2F,Unassigned integer data types,[RFC8010]
0x30,octetString with an unspecified format,[RFC8010]
0x31,dateTime,[RFC8010]
0x32,resolution,[RFC8010]
0x33,rangeOfInteger,[RFC8010]
0x34,begCollection,[RFC8010]
0x35,textWithLanguage,[RFC8010]
0x36,nameWithLanguage,[RFC8010]
0x37,endCollection,[RFC8010]
0x38-0x3F,Unassigned octetString data types,[RFC8010]
0x40,Unassigned; can be assigned to 'generic character-string' if it should ever be needed,[RFC8010]
0x41,textWithoutLanguage,[RFC8010]
0x42,nameWithoutLanguage,[RFC8010]
0x43,Unassigned,
0x44,keyword,[RFC8010]
0x45,uri,[RFC8010]
0x46,uriScheme,[RFC8010]
0x47,charset,[RFC8010]
0x48,naturalLanguage,[RFC8010]
0x49,mimeMediaType,[RFC8010]
0x4A,memberAttrName,[RFC8010]
0x4B-0x5F,Unassigned character-string data types,[RFC8010]
0x60-0x7E,Unassigned,
0x7F,"For extension using the next 4 octets - see
Note above.",[RFC8010]
0x80-0xFF,Unassigned,
