Value,Name,Reference
0x00,Reserved,[RFC8010]
0x01,"""operation-attributes-tag""",[RFC8010]
0x02,"""job-attributes-tag""",[RFC8010]
0x03,"""end-of-attributes-tag""",[RFC8010]
0x04,"""printer-attributes-tag""",[RFC8010]
0x05,"""unsupported-attributes-tag""",[RFC8010]
0x06,"""subscription-attributes-tag""",[RFC3995]
0x07,"""event-notification-attributes-tag""",[RFC3995]
0x08,resource-attributes-tag,
0x09,document-attributes-tag,[PWG5100.5]
0x0A,system-attributes-tag,[PWG5100.22]
0x000b-0x0F,Unassigned,
