Value,Addrtype,Length of value field (in bytes),Reference
0,Reserved,0,[RFC3103]
1,IPv4,4,[RFC3103]
2,IPv4 netmask,4,[RFC3103]
3,IPv6,16,[RFC3103]
4,FQDN,varies,[RFC3103]
5-240,Unassigned,-,[RFC3103]
240-255,Reserved for private use,-,[RFC3103]
