Value,RSIP method,Reference
0,Reserved,[RFC3103]
1,RSA-IP,[RFC3103]
2,RSAP-IP,[RFC3103]
3,RSIP with IPsec (RSIPSEC),[RFC3104]
4-240,Unassigned,[RFC3103]
241-255,Reserved for Private Use,[RFC3103]
