Type,Name,Reference
0x00,DATA_CHANNEL_RELIABLE,[RFC-ietf-rtcweb-data-protocol-09]
0x01,DATA_CHANNEL_PARTIAL_RELIABLE_REXMIT,[RFC-ietf-rtcweb-data-protocol-09]
0x02,DATA_CHANNEL_PARTIAL_RELIABLE_TIMED,[RFC-ietf-rtcweb-data-protocol-09]
0x03-0x7e,Unassigned,
0x7f,Reserved,[RFC-ietf-rtcweb-data-protocol-09]
0x80,DATA_CHANNEL_RELIABLE_UNORDERED,[RFC-ietf-rtcweb-data-protocol-09]
0x81,DATA_CHANNEL_PARTIAL_RELIABLE_REXMIT_UNORDERED,[RFC-ietf-rtcweb-data-protocol-09]
0x82,DATA_CHANNEL_PARTIAL_RELIABLE_TIMED_UNORDERED,[RFC-ietf-rtcweb-data-protocol-09]
0x83-0xfe,Unassigned,
0xff,Reserved,[RFC-ietf-rtcweb-data-protocol-09]
