Code,Type,Reference
1,IPv4 Source-Active,[RFC3618]
2,IPv4 Source-Active Request,[RFC3618]
3,IPv4 Source-Active Response,[RFC3618]
4,KeepAlive,[RFC3618]
5,Reserved (Previously: Notification),[RFC3618]
6,MSDP traceroute in progress,[RFC3618]
7,MSDP traceroute reply,[RFC3618]
8-200,Unassigned,
201-255,Experimental Use,[RFC3618]
