Sub-namespace,Reference,IANA Registry Reference
rfc,[RFC2648],none
fyi,[RFC2648],none
std,[RFC2648],none
bcp,[RFC2648],none
id,[RFC2648],none
mtg,[RFC2648],none
params,[RFC3553],[https://www.iana.org/assignments/params/params.xml#params-1]
