Value,Category,Reference
0000000000000000,Reserved,[RFC4384]
0000000000000001,Customer Routes,[RFC4384]
0000000000000010,Peer Routes,[RFC4384]
0000000000000011,Internal Routes,[RFC4384]
0000000000000100,Internal More Specific Routes,[RFC4384]
0000000000000101,Special Purpose Routes,[RFC4384]
0000000000000110,Upstream Routes,[RFC4384]
0000000000000111-0000011111111111,Reserved,
