Value,Description,DTLS-OK,Reference
0,Reserved,,[RFC6520]
1,heartbeat_request,Y,[RFC6520]
2,heartbeat_response,Y,[RFC6520]
3-254,Unassigned,,
255,Reserved,,[RFC6520]
