Value,Description,DTLS-OK,Reference
0,Reserved,,[RFC6520]
1,peer_allowed_to_send,Y,[RFC6520]
2,peer_not_allowed_to_send,Y,[RFC6520]
3-254,Unassigned,,
255,Reserved,,[RFC6520]
