Value,Description,DTLS-OK,Reference
0-19,Unassigned (Requires coordination; see [RFC9443]),,[RFC5764][RFC9443]
20,change_cipher_spec,Y,[RFC8446]
21,alert,Y,[RFC8446]
22,handshake,Y,[RFC8446]
23,application_data,Y,[RFC8446]
24,heartbeat,Y,[RFC6520]
25,tls12_cid,Y,[RFC9146]
26,ACK,Y,[RFC9147]
27,"return_routability_check (TEMPORARY - registered 2023-11-28, expires 2024-11-28)",Y,[draft-ietf-tls-dtls-rrc-10]
28-31,Unassigned,,
32-63,Reserved,,[RFC9147]
64-255,Unassigned (Requires coordination; see [RFC9443]),,[RFC5764][RFC9443]
