Value,Description,DTLS-OK,Reference
0,anonymous,Y,[RFC5246]
1,rsa,Y,[RFC5246]
2,dsa,Y,[RFC5246]
3,ecdsa,Y,[RFC5246]
4-6,Reserved,,[RFC8447]
7,ed25519,Y,[RFC8422]
8,ed448,Y,[RFC8422]
9-63,Reserved,,[RFC8447]
64,gostr34102012_256,Y,[1][RFC-smyshlyaev-tls12-gost-suites-18]
65,gostr34102012_512,Y,[1][RFC-smyshlyaev-tls12-gost-suites-18]
66-223,Reserved,,[RFC8447]
224-255,Reserved for Private Use,,[RFC5246]
