Value,Description,Reference
0,Default,[RFC5975]
1,Y.1541-QOSM,[RFC5975]
2,RMD-QOSM,[RFC5975]
3-12,Unassigned,
13-16,Reserved for Local/Experimental Use,[RFC5975]
17-31,Reserved,[RFC5975]
