Value,Extension Name,TLS 1.3,Recommended,Reference
0,server_name,"CH, EE",Y,[RFC6066]
1,max_fragment_length,"CH, EE",N,[RFC6066][RFC8449]
2,client_certificate_url,-,Y,[RFC6066]
3,trusted_ca_keys,-,Y,[RFC6066]
4,truncated_hmac,-,N,[RFC6066][IESG Action 2018-08-16]
5,status_request,"CH, CR, CT",Y,[RFC6066]
6,user_mapping,-,Y,[RFC4681]
7,client_authz,-,N,[RFC5878]
8,server_authz,-,N,[RFC5878]
9,cert_type,-,N,[RFC6091]
10,"supported_groups (renamed from ""elliptic_curves"")","CH, EE",Y,[RFC8422][RFC7919]
11,ec_point_formats,-,Y,[RFC8422]
12,srp,-,N,[RFC5054]
13,signature_algorithms,"CH, CR",Y,[RFC8446]
14,use_srtp,"CH, EE",Y,[RFC5764]
15,heartbeat,"CH, EE",Y,[RFC6520]
16,application_layer_protocol_negotiation,"CH, EE",Y,[RFC7301]
17,status_request_v2,-,Y,[RFC6961]
18,signed_certificate_timestamp,"CH, CR, CT",N,[RFC6962]
19,client_certificate_type,"CH, EE",Y,[RFC7250]
20,server_certificate_type,"CH, EE",Y,[RFC7250]
21,padding,CH,Y,[RFC7685]
22,encrypt_then_mac,-,Y,[RFC7366]
23,extended_master_secret,-,Y,[RFC7627]
24,token_binding,-,Y,[RFC-ietf-tokbind-negotiation-14]
25,cached_info,-,Y,[RFC7924]
26,Unassigned,,,
27,"compress_certificate 
        (TEMPORARY - registered 2018-05-23, expires 2019-05-23)","CH, CR",Y,[draft-ietf-tls-certificate-compression]
28,record_size_limit,"CH, EE",Y,[RFC8449]
29,pwd_protect,CH,N,[RFC-harkins-tls-dragonfly-03]
30,pwd_clear,CH,N,[RFC-harkins-tls-dragonfly-03]
31,password_salt,"CH, SH, HRR",N,[RFC-harkins-tls-dragonfly-03]
32-34,Unassigned,,,
35,"session_ticket (renamed from ""SessionTicket TLS"")",-,Y,[RFC5077][RFC8447]
36-40,Unassigned,,,
41,pre_shared_key,"CH, SH",Y,[RFC8446]
42,early_data,"CH, EE, NST",Y,[RFC8446]
43,supported_versions,"CH, SH, HRR",Y,[RFC8446]
44,cookie,"CH, HRR",Y,[RFC8446]
45,psk_key_exchange_modes,CH,Y,[RFC8446]
46,Unassigned,,,
47,certificate_authorities,"CH, CR",Y,[RFC8446]
48,oid_filters,CR,Y,[RFC8446]
49,post_handshake_auth,CH,Y,[RFC8446]
50,signature_algorithms_cert,"CH, CR",Y,[RFC8446]
51,key_share,"CH, SH, HRR",Y,[RFC8446]
52-65279,Unassigned,,,
65280,Reserved for Private Use,,,[RFC8446]
65281,renegotiation_info,-,Y,[RFC5746]
65282-65535,Reserved for Private Use,,,[RFC8446]
