Field,Name,Reference
Bandwidth,b,[RFC3435]
Codecs,a,[RFC3435]
Content Destination,es-ccd,[[PKT-SP-TGCP-I02-011221]]
Content Identifier,es-cci,[[PKT-SP-TGCP-I02-011221]]
D-QoS GateID,dq-gi,[[PKT-SP-EC-MGCP-I04-011221]]
D-QoS Reserve Destination,dq-rd,[[PKT-SP-EC-MGCP-I04-011221]]
D-QoS Resource ID,dq-ri,[[PKT-SP-EC-MGCP-I04-011221]]
D-QoS Resource Reservation,dq-rr,[[PKT-SP-EC-MGCP-I04-011221]]
Echo Cancellation,e,[RFC3435]
Encryption Key,k,[RFC3435]
Gain Control,gc,[RFC3435]
Media Format,fmtp,[RFC3660]
Network Type,nt,[RFC3435]
Optional Media Format,o-fmtp,[RFC3660]
Packetization Period,p,[RFC3435]
Resource Reservation,r,[RFC3435]
RTCP ciphersuite,sc-rtcp,[[PKT-SP-EC-MGCP-I04-011221]]
RTP ciphersuite,sc-rtp,[[PKT-SP-EC-MGCP-I04-011221]]
Silence Suppression,s,[RFC3435]
Type of Service,t,[RFC3435]
Reservation Confirmation,r-cnf,[RFC3660]
Reservation Direction,r-dir,[RFC3660]
Resource Sharing,r-sh,[RFC3660]
