Value,Description,Reference
100,Continue,[RFC2326]
200,OK,[RFC2326]
201,Created,[RFC2326]
250,Low on Storage Space,[RFC2326]
300,Multiple Choices,[RFC2326]
301,Moved Permanently,[RFC2326]
302,Moved Temporarily,[RFC2326]
303,See Other,[RFC2326]
304,Not Modified,[RFC2326]
305,Use Proxy,[RFC2326]
400,Bad Request,[RFC2326]
401,Unauthorized,[RFC2326]
402,Payment Required,[RFC2326]
403,Forbidden,[RFC2326]
404,Not Found,[RFC2326]
405,Method Not Allowed,[RFC2326]
406,Not Acceptable,[RFC2326]
407,Proxy Authentication Required,[RFC2326]
408,Request Time-out,[RFC2326]
410,Gone,[RFC2326]
411,Length Required,[RFC2326]
412,Precondition Failed,[RFC2326]
413,Request Entity Too Large,[RFC2326]
414,Request-URI Too Large,[RFC2326]
415,Unsupported Media Type,[RFC2326]
451,Parameter Not Understood,[RFC2326]
452,Conference Not Found,[RFC2326]
453,Not Enough Bandwidth,[RFC2326]
454,Session Not Found,[RFC2326]
455,Method Not Valid in This State,[RFC2326]
456,Header Field Not Valid for Resource,[RFC2326]
457,Invalid Range,[RFC2326]
458,Parameter Is Read-Only,[RFC2326]
459,Aggregate operation not allowed,[RFC2326]
460,Only aggregate operation allowed,[RFC2326]
461,Unsupported transport,[RFC2326]
462,Destination unreachable,[RFC2326]
463,Key management Failure,[RFC4567]
500,Internal Server Error,[RFC2326]
501,Not Implemented,[RFC2326]
502,Bad Gateway,[RFC2326]
503,Service Unavailable,[RFC2326]
504,Gateway Time-out,[RFC2326]
505,RTSP Version not supported,[RFC2326]
551,Option not supported,[RFC2326]
