Value,Name,Reference
0,INVALID,[RFC5776]
1,SHA-1,[RFC5776]
2,SHA-224,[RFC5776]
3,SHA-256 (default),[RFC5776]
4,SHA-384,[RFC5776]
5,SHA-512,[RFC5776]
6-240,Unassigned,
241-255,Private Use,[RFC5776]
