Value,MAC Function,Reference
0,HMAC-SHA1,[RFC4442]
1,HMAC-SHA-224,[RFC5776]
2,HMAC-SHA-256 (default),[RFC5776]
3,HMAC-SHA-384,[RFC5776]
4,HMAC-SHA-512,[RFC5776]
5-240,Unassigned,
241-255,Private Use,[RFC4442]
