Warn Code,Short Description,Reference
110,Response is Stale,"[RFC7234, Section 5.5.1]"
111,Revalidation Failed,"[RFC7234, Section 5.5.2]"
112,Disconnected Operation,"[RFC7234, Section 5.5.3]"
113,Heuristic Expiration,"[RFC7234, Section 5.5.4]"
199,Miscellaneous Warning,"[RFC7234, Section 5.5.5]"
214,Transformation Applied,"[RFC7234, Section 5.5.6]"
299,Miscellaneous Persistent Warning,"[RFC7234, Section 5.5.7]"
