Value,Threshold Exceeded Event Name,Reference
0,Reserved,[RFC8158]
1,Address pool high threshold event,[RFC8158]
2,Address pool low threshold event,[RFC8158]
3,Address and port mapping high threshold event,[RFC8158]
4,Address and port mapping per user high threshold event,[RFC8158]
5,Global Address mapping high threshold event,[RFC8158]
