Code,Summary,Description,Reference,Submitter,Change Controller
X.0.YYY,Other or Undefined Status,There is no additional subject information available.,[RFC3463] (Standards track),G. Vaudreuil,IESG
X.1.YYY,Addressing Status,"The address status reports on the originator or
destination address.  It may include address syntax or
validity.  These errors can generally be corrected by
the sender and retried.",[RFC3463] (Standards track),G. Vaudreuil,IESG
X.2.YYY,Mailbox Status,"Mailbox status indicates that something having to do
with the mailbox has caused this DSN.  Mailbox issues are
assumed to be under the general control of the recipient.",[RFC3463] (Standards track),G. Vaudreuil,IESG
X.3.YYY,Mail System Status,"Mail system status indicates that something having to do
with the destination system has caused this DSN.  System
issues are assumed to be under the general control of the
destination system administrator.",[RFC3463] (Standards track),G. Vaudreuil,IESG
X.4.YYY,Network and Routing Status,"The networking or routing codes report status about the
delivery system itself.  These system components include
any necessary infrastructure such as directory and routing
services.  Network issues are assumed to be under the
control of the destination or intermediate system
administrator.",[RFC3463] (Standards track),G. Vaudreuil,IESG
X.5.YYY,Mail Delivery Protocol Status,"The mail delivery protocol status codes report failures
involving the message delivery protocol.  These failures
include the full range of problems resulting from
implementation errors or an unreliable connection.",[RFC3463] (Standards track),G. Vaudreuil,IESG
X.6.YYY,Message Content or Media Status,"The message content or media status codes report failures
involving the content of the message.  These codes report
failures due to translation, transcoding, or otherwise
unsupported message media.  Message content or media
issues are under the control of both the sender and the
receiver, both of which must support a common set of
supported content-types.",[RFC3463] (Standards track),G. Vaudreuil,IESG
X.7.YYY,Security or Policy Status,"The security or policy status codes report failures
involving policies such as per-recipient or per-host
filtering and cryptographic operations.  Security and
policy status issues are assumed to be under the control
of either or both the sender and recipient.  Both the
sender and recipient must permit the exchange of messages
and arrange the exchange of necessary keys and
certificates for cryptographic operations.",[RFC3463] (Standards track),G. Vaudreuil,IESG
