Event Parameter,Reference
admin,[RFC5423]
bodyStructure,[RFC5423]
clientIP,[RFC5423]
clientPort,[RFC5423]
diskQuota,[RFC5423]
diskUsed,[RFC5423]
envelope,[RFC5423]
flagNames,[RFC5423]
mailboxID,[RFC5423]
maxMessages,[RFC5423]
messageContent,[RFC5423]
messageSize,[RFC5423]
messages,[RFC5423]
modseq,[RFC5423]
oldMailboxID,[RFC5423]
pid,[RFC5423]
process,[RFC5423]
serverDomain,[RFC5423]
serverFQDN,[RFC5423]
serverPort,[RFC5423]
service,[RFC5423]
tags,[RFC5423]
timestamp,[RFC5423]
uidnext,[RFC5423]
uidset,[RFC5423]
uri,[RFC5423]
user,[RFC5423]
