Event Name,Reference
FlagsClear,[RFC5423]
FlagsSet,[RFC5423]
Login,[RFC5423]
Logout,[RFC5423]
MailboxCreate,[RFC5423]
MailboxDelete,[RFC5423]
MailboxRename,[RFC5423]
MailboxSubscribe,[RFC5423]
MailboxUnSubscribe,[RFC5423]
MessageAppend,[RFC5423]
MessageExpire,[RFC5423]
MessageExpunge,[RFC5423]
MessageNew,[RFC5423]
MessageRead,[RFC5423]
MessageTrash,[RFC5423]
QuotaChange,[RFC5423]
QuotaExceed,[RFC5423]
QuotaWithin,[RFC5423]
