Value,Cipher ID,Reference
0,RESERVED,[RFC7401]
1,NULL-ENCRYPT,[RFC7401]
2,AES-128-CBC,[RFC7401]
3,RESERVED,[RFC7401]
4,AES-256-CBC,[RFC7401]
5-65535,Unassigned,
