Value,Suite ID,Reference
0,Reserved,[RFC5201]
1,AES-CBC with HMAC-SHA1,[RFC5201]
2,3DES-CBC with HMAC-SHA1,[RFC5201]
3,3DES-CBC with HMAC-MD5,[RFC5201]
4,BLOWFISH-CBC with HMAC-SHA1,[RFC5201]
5,NULL-ENCRYPT with HMAC-SHA1,[RFC5201]
6,NULL-ENCRYPT with HMAC-MD5,[RFC5201]
7-65535,Unassigned,
