Value,Identifier,Reference
0,Reserved,[RFC5770]
1,UDP-ENCAPSULATION,[RFC5770]
2,ICE-STUN-UDP,[RFC5770]
3,ICE-HIP-UDP,[RFC9028]
4-65535,Unassigned,
