BSD#,Identifier of BSD,Contact,Reference
0x0001,SLPv1-RSA-MD5-Sig,[Erik_Guttman],[RFC2165]
0x0002,SLPv2-DSA-SHA1-Sig,[Erik_Guttman],[RFC2608]
0x0003-0x7FFF,Unassigned,,
