Code,Name,Reference
0.01,GET,[RFC7252]
0.02,POST,[RFC7252]
0.03,PUT,[RFC7252]
0.04,DELETE,[RFC7252]
0.05,FETCH,[RFC-ietf-core-etch-04]
0.06,PATCH,[RFC-ietf-core-etch-04]
0.07,iPATCH,[RFC-ietf-core-etch-04]
0.08-0.31,Unassigned,
